compute,draw,frame
0.73,0.07,0.81
0.73,0.07,0.80
0.73,0.07,0.80
0.73,0.07,0.80
0.73,0.07,0.80
0.73,0.06,0.79
0.73,0.07,0.80
0.72,0.07,0.80
0.82,0.07,0.90
0.73,0.07,0.80
0.72,0.06,0.80
0.73,0.07,0.80
0.82,0.08,0.90
0.73,0.07,0.80
0.73,0.07,0.80
0.82,0.07,0.90
0.82,0.07,0.90
0.73,0.07,0.81
0.73,0.07,0.80
0.73,0.07,0.80
0.82,0.07,0.90
0.73,0.07,0.81
0.74,0.07,0.81
0.73,0.07,0.81
0.82,0.07,0.91
0.73,0.06,0.80
0.82,0.07,0.90
0.73,0.07,0.80
0.82,0.07,0.91
0.82,0.08,0.90
0.73,0.07,0.81
0.82,0.07,0.90
0.82,0.07,0.91
0.73,0.07,0.80
0.73,0.07,0.81
0.73,0.07,0.80
0.73,0.07,0.80
0.82,0.07,0.90
0.82,0.08,0.90
0.82,0.07,0.89
0.73,0.07,0.80
0.73,0.07,0.80
0.73,0.07,0.79
0.73,0.07,0.80
0.73,0.06,0.80
0.72,0.07,0.80
0.72,0.07,0.80
0.73,0.07,0.80
0.73,0.07,0.81
0.81,0.07,0.89
0.73,0.07,0.80
0.73,0.07,0.79
0.73,0.07,0.80
0.73,0.06,0.80
0.73,0.07,0.80
0.73,0.07,0.80
0.73,0.07,0.80
0.82,0.07,0.90
0.82,0.07,0.91
0.82,0.07,0.90
0.82,0.08,0.91
0.73,0.07,0.81
0.73,0.07,0.80
0.73,0.07,0.81
0.73,0.07,0.81
0.73,0.07,0.80
0.73,0.07,0.80
0.82,0.08,0.90
0.74,0.07,0.82
0.73,0.07,0.80
0.73,0.07,0.81
0.73,0.07,0.81
0.73,0.07,0.81
0.73,0.07,0.80
0.73,0.07,0.81
0.73,0.07,0.80
0.73,0.07,0.80
0.74,0.07,0.81
0.73,0.07,0.81
0.73,0.07,0.80
0.82,0.07,0.90
0.73,0.07,0.81
